"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"项目管理平台","项目申请模块","提交项目","7","0","7","0","0"
"用户中心系统","账号管理模块","获取账号列表","1","0","2","0","0"
"项目管理平台","经费审批模块","获取经费日志列表","0","0","4","0","0"
"项目管理平台","项目审批模块","获取项目审批列表","1","0","4","0","0"
"项目管理平台","项目查询模块","获取已完成项目","0","0","3","0","0"
"项目管理平台","项目配置模块","获取项目种类列表","0","0","2","0","0"
"项目管理平台","文件管理模块","上传文件","0","1","1","0","0"
"用户中心系统","用户认证模块","账号密码登录","0","0","6","0","0"
"用户中心系统","账号管理模块","新增账号","3","0","1","0","0"
"项目管理平台","经费管理模块","获取经费类型列表","0","0","2","0","0"
"项目管理平台","项目查询模块","获取项目列表","0","0","5","0","0"
"项目管理平台","项目查询模块","获取未通过项目","0","0","3","0","0"
"项目管理平台","项目查询模块","获取进行中项目","0","0","6","0","0"
"经费管理系统","经费审批模块","获取经费审批列表","0","0","5","0","0"
"InvEntropy","登录模块","获取登录公钥接口","0","0","1","0","0"
"项目管理平台","项目查询模块","获取项目时间线","1","0","1","0","0"
"项目管理平台","项目查询模块","条件查询项目","0","0","1","0","0"
"项目管理平台","项目日志模块","获取项目日志列表","0","0","5","0","0"
"项目管理平台","经费申请模块","申请经费","0","0","2","0","0"
"项目管理平台","工作类型管理模块","获取工作类型列表","0","0","2","0","0"
"用户中心系统","用户信息模块","获取当前登录用户信息","0","0","2","0","0"
